graph,aco_ts,pli,gap,gap_percent,status,runtime_seconds,iterations,evaluations,stop_reason,output_file
jagmesh2,509.0,473.0,36.0,7.6109936575052854,pior,83.138,2350,870992,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/jagmesh2.json
jagmesh4,748.0,696.0,52.0,7.471264367816093,pior,186.741,3650,1359844,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/jagmesh4.json
jagmesh8,595.0,551.0,44.0,7.985480943738657,pior,205.108,5150,1923904,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/jagmesh8.json
lshp1561,784.0,730.0,54.0,7.397260273972603,pior,205.306,3850,1435052,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/lshp1561.json
lshp2233,1204.0,1035.0,169.0,16.32850241545894,pior,6172.561,133,28862,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/lshp2233.json
nos1,242.0,184.0,58.0,31.521739130434785,pior,10.169,1450,532556,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/nos1.json
plat1919,438.0,377.0,61.0,16.180371352785148,pior,586.711,5900,2205934,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/plat1919.json
plat362,84.0,76.0,8.0,10.526315789473683,pior,78.207,3100,1153022,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/plat362.json
young2c,598.0,549.0,49.0,8.925318761384334,pior,80.978,2950,1096616,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/young2c.json
young3c,592.0,530.0,62.0,11.69811320754717,pior,101.899,3600,1341042,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/young3c.json
