algorithm,graph,best_fitness_global,attempts,total_runtime_seconds,output
hho_rvns,bcsstk24.col,280.0,10,9621.422,results/experiments/hho_rvns/bcsstk24.json
hho_rvns,bcsstk11.col,226.0,10,9098.73,results/experiments/hho_rvns/bcsstk11.json
hho_rvns,bfw782b.col,395.0,10,6583.306,results/experiments/hho_rvns/bfw782b.json
hho_rvns,bcsstk15.col,607.0,10,9237.579,results/experiments/hho_rvns/bcsstk15.json
hho_rvns,bcsstk23.col,929.0,10,9156.819,results/experiments/hho_rvns/bcsstk23.json
hho_rvns,bcspwr10.col,3980.0,10,9116.92,results/experiments/hho_rvns/bcspwr10.json
hho_rvns,flat300_28_0.col,10.0,10,8500.631,results/experiments/hho_rvns/flat300_28_0.json
hho_rvns,cubic_2500.col,1958.0,10,9052.05,results/experiments/hho_rvns/cubic_2500.json
hho_rvns,bcsstk13.col,241.0,10,9269.032,results/experiments/hho_rvns/bcsstk13.json
hho_rvns,bcsstk26.col,474.0,10,9109.691,results/experiments/hho_rvns/bcsstk26.json
hho_rvns,nos1.col,183.0,10,1913.538,results/experiments/hho_rvns/nos1.json
hho_rvns,cubic_3000.col,2354.0,10,9079.343,results/experiments/hho_rvns/cubic_3000.json
hho_rvns,lshp2233.col,1062.0,10,9085.737000000001,results/experiments/hho_rvns/lshp2233.json
hho_rvns,cubic_2400.col,1881.0,10,9054.008,results/experiments/hho_rvns/cubic_2400.json
hho_rvns,cubic_2100.col,1645.0,10,9043.225,results/experiments/hho_rvns/cubic_2100.json
hho_rvns,cubic_2700.col,2111.0,10,9035.403,results/experiments/hho_rvns/cubic_2700.json
hho_rvns,queen11_11.col,15.0,10,1704.792,results/experiments/hho_rvns/queen11_11.json
hho_rvns,bcsstk21.col,1744.0,10,9185.839,results/experiments/hho_rvns/bcsstk21.json
hho_rvns,plat1919.col,405.0,10,9059.397,results/experiments/hho_rvns/plat1919.json
hho_rvns,le450_15d.col,29.0,10,9083.654,results/experiments/hho_rvns/le450_15d.json
hho_rvns,cubic_2300.col,1805.0,10,9024.979,results/experiments/hho_rvns/cubic_2300.json
hho_rvns,cubic_2000.col,1562.0,10,29512.332,results/experiments/hho_rvns/cubic_2000.json
hho_rvns,cubic_2200.col,1725.0,10,9152.224,results/experiments/hho_rvns/cubic_2200.json
hho_rvns,cubic_2600.col,2036.0,10,9040.765,results/experiments/hho_rvns/cubic_2600.json
hho_rvns,cubic_1900.col,1487.0,10,9070.425,results/experiments/hho_rvns/cubic_1900.json
hho_rvns,bcsstk20.col,269.0,10,4143.179,results/experiments/hho_rvns/bcsstk20.json
hho_rvns,bcsstk09.col,234.0,10,9193.868,results/experiments/hho_rvns/bcsstk09.json
hho_rvns,jagmesh4.col,718.0,10,9037.794,results/experiments/hho_rvns/jagmesh4.json
hho_rvns,cubic_1100.col,857.0,10,7078.963,results/experiments/hho_rvns/cubic_1100.json
hho_rvns,cubic_1800.col,1411.0,10,13756.041000000001,results/experiments/hho_rvns/cubic_1800.json
hho_rvns,lshp1561.col,751.0,10,20668.658,results/experiments/hho_rvns/lshp1561.json
hho_rvns,cubic_1500.col,1176.0,10,9098.663,results/experiments/hho_rvns/cubic_1500.json
hho_rvns,cubic_900.col,701.0,10,5685.068,results/experiments/hho_rvns/cubic_900.json
hho_rvns,cubic_1700.col,1330.0,10,9415.084,results/experiments/hho_rvns/cubic_1700.json
hho_rvns,cubic_200.col,153.0,10,3395.273,results/experiments/hho_rvns/cubic_200.json
hho_rvns,dwt_869.col,321.0,10,7383.1630000000005,results/experiments/hho_rvns/dwt_869.json
hho_rvns,cubic_1600.col,1253.0,10,7982.402,results/experiments/hho_rvns/cubic_1600.json
hho_rvns,cubic_300.col,231.0,10,1685.936,results/experiments/hho_rvns/cubic_300.json
hho_rvns,dwt_1005.col,420.0,10,8978.598,results/experiments/hho_rvns/dwt_1005.json
hho_rvns,cubic_800.col,623.0,10,3827.027,results/experiments/hho_rvns/cubic_800.json
hho_rvns,queen16_16.col,22.0,10,3161.936,results/experiments/hho_rvns/queen16_16.json
hho_rvns,cubic_1400.col,1091.0,10,6992.965999999999,results/experiments/hho_rvns/cubic_1400.json
hho_rvns,bcsstk19.col,357.0,10,7977.598,results/experiments/hho_rvns/bcsstk19.json
hho_rvns,jagmesh8.col,600.0,10,9075.604,results/experiments/hho_rvns/jagmesh8.json
hho_rvns,cubic_1000.col,780.0,10,6457.4490000000005,results/experiments/hho_rvns/cubic_1000.json
hho_rvns,cubic_1300.col,1014.0,10,6803.159,results/experiments/hho_rvns/cubic_1300.json
hho_rvns,le450_5a.col,75.0,10,7634.724,results/experiments/hho_rvns/le450_5a.json
hho_rvns,jagmesh2.col,486.0,10,9173.439,results/experiments/hho_rvns/jagmesh2.json
hho_rvns,young2c.col,540.0,10,4356.373,results/experiments/hho_rvns/young2c.json
